"V1"	"V4"
"107"	"MIMAT0000058_st"	"cel-miR-85-3p"
"108"	"MIMAT0000059_st"	"cel-miR-86-5p"
"109"	"MIMAT0020776_st"	"cel-miR-86-3p"
"110"	"MIMAT0020325_st"	"cel-miR-87-5p"
"111"	"MIMAT0000060_st"	"cel-miR-87-3p"
"112"	"MIMAT0020326_st"	"cel-miR-90-5p"
"113"	"MIMAT0000061_st"	"cel-miR-90-3p"
"114"	"MIMAT0000062_st"	"hsa-let-7a-5p"
"115"	"MIMAT0004481_st"	"hsa-let-7a-3p"
"116"	"MIMAT0010195_st"	"hsa-let-7a-2-3p"
"117"	"MIMAT0000063_st"	"hsa-let-7b-5p"
"118"	"MIMAT0004482_st"	"hsa-let-7b-3p"
"119"	"MIMAT0000064_st"	"hsa-let-7c-5p"
"120"	"MIMAT0026472_st"	"hsa-let-7c-3p"
"121"	"MIMAT0000065_st"	"hsa-let-7d-5p"
"122"	"MIMAT0004484_st"	"hsa-let-7d-3p"
"123"	"MIMAT0000066_st"	"hsa-let-7e-5p"
"124"	"MIMAT0004485_st"	"hsa-let-7e-3p"
"125"	"MIMAT0000067_st"	"hsa-let-7f-5p"
"126"	"MIMAT0004486_st"	"hsa-let-7f-1-3p"
"127"	"MIMAT0004487_st"	"hsa-let-7f-2-3p"
"128"	"MIMAT0000068_st"	"hsa-miR-15a-5p"
"129"	"MIMAT0004488_st"	"hsa-miR-15a-3p"
"130"	"MIMAT0000069_st"	"hsa-miR-16-5p"
"131"	"MIMAT0004489_st"	"hsa-miR-16-1-3p"
"132"	"MIMAT0000070_st"	"hsa-miR-17-5p"
"133"	"MIMAT0000071_st"	"hsa-miR-17-3p"
"134"	"MIMAT0000072_st"	"hsa-miR-18a-5p"
"135"	"MIMAT0002891_st"	"hsa-miR-18a-3p"
"136"	"MIMAT0004490_st"	"hsa-miR-19a-5p"
"137"	"MIMAT0000073_st"	"hsa-miR-19a-3p"
"138"	"MIMAT0004491_st"	"hsa-miR-19b-1-5p"
"139"	"MIMAT0000074_st"	"hsa-miR-19b-3p"
"140"	"MIMAT0004492_st"	"hsa-miR-19b-2-5p"
"141"	"MIMAT0000075_st"	"hsa-miR-20a-5p"
"142"	"MIMAT0004493_st"	"hsa-miR-20a-3p"
"143"	"MIMAT0000076_st"	"hsa-miR-21-5p"
"144"	"MIMAT0004494_st"	"hsa-miR-21-3p"
"145"	"MIMAT0004495_st"	"hsa-miR-22-5p"
"146"	"MIMAT0000077_st"	"hsa-miR-22-3p"
"147"	"MIMAT0004496_st"	"hsa-miR-23a-5p"
"148"	"MIMAT0000078_st"	"hsa-miR-23a-3p"
"149"	"MIMAT0000079_st"	"hsa-miR-24-1-5p"
"150"	"MIMAT0000080_st"	"hsa-miR-24-3p"
"151"	"MIMAT0004497_st"	"hsa-miR-24-2-5p"
"152"	"MIMAT0004498_st"	"hsa-miR-25-5p"
"153"	"MIMAT0000081_st"	"hsa-miR-25-3p"
"154"	"MIMAT0000082_st"	"hsa-miR-26a-5p"
"155"	"MIMAT0004499_st"	"hsa-miR-26a-1-3p"
"156"	"MIMAT0000083_st"	"hsa-miR-26b-5p"
"157"	"MIMAT0004500_st"	"hsa-miR-26b-3p"
"158"	"MIMAT0004501_st"	"hsa-miR-27a-5p"
"159"	"MIMAT0000084_st"	"hsa-miR-27a-3p"
"160"	"MIMAT0000085_st"	"hsa-miR-28-5p"
"161"	"MIMAT0004502_st"	"hsa-miR-28-3p"
"162"	"MIMAT0004503_st"	"hsa-miR-29a-5p"
"163"	"MIMAT0000086_st"	"hsa-miR-29a-3p"
"164"	"MIMAT0000087_st"	"hsa-miR-30a-5p"
"165"	"MIMAT0000088_st"	"hsa-miR-30a-3p"
"166"	"MIMAT0000089_st"	"hsa-miR-31-5p"
"167"	"MIMAT0004504_st"	"hsa-miR-31-3p"
"168"	"MIMAT0000090_st"	"hsa-miR-32-5p"
"169"	"MIMAT0004505_st"	"hsa-miR-32-3p"
"170"	"MIMAT0000091_st"	"hsa-miR-33a-5p"
"171"	"MIMAT0004506_st"	"hsa-miR-33a-3p"
"172"	"MIMAT0004507_st"	"hsa-miR-92a-1-5p"
"173"	"MIMAT0000092_st"	"hsa-miR-92a-3p"
"174"	"MIMAT0004508_st"	"hsa-miR-92a-2-5p"
"175"	"MIMAT0000093_st"	"hsa-miR-93-5p"
"176"	"MIMAT0004509_st"	"hsa-miR-93-3p"
"177"	"MIMAT0026473_st"	"hsa-miR-95-5p"
"178"	"MIMAT0000094_st"	"hsa-miR-95-3p"
"179"	"MIMAT0000095_st"	"hsa-miR-96-5p"
"180"	"MIMAT0004510_st"	"hsa-miR-96-3p"
"181"	"MIMAT0000096_st"	"hsa-miR-98-5p"
"182"	"MIMAT0022842_st"	"hsa-miR-98-3p"
"183"	"MIMAT0000097_st"	"hsa-miR-99a-5p"
"184"	"MIMAT0004511_st"	"hsa-miR-99a-3p"
"185"	"MIMAT0000098_st"	"hsa-miR-100-5p"
"186"	"MIMAT0004512_st"	"hsa-miR-100-3p"
"187"	"MIMAT0004513_st"	"hsa-miR-101-5p"
"188"	"MIMAT0000099_st"	"hsa-miR-101-3p"
"189"	"MIMAT0004514_st"	"hsa-miR-29b-1-5p"
"190"	"MIMAT0000100_st"	"hsa-miR-29b-3p"
"191"	"MIMAT0004515_st"	"hsa-miR-29b-2-5p"
"192"	"MIMAT0009196_st"	"hsa-miR-103a-2-5p"
"193"	"MIMAT0000101_st"	"hsa-miR-103a-3p"
"194"	"MIMAT0000102_st"	"hsa-miR-105-5p"
"195"	"MIMAT0004516_st"	"hsa-miR-105-3p"
"196"	"MIMAT0000103_st"	"hsa-miR-106a-5p"
"197"	"MIMAT0004517_st"	"hsa-miR-106a-3p"
"198"	"MIMAT0000104_st"	"hsa-miR-107"
"199"	"MIMAT0004518_st"	"hsa-miR-16-2-3p"
"200"	"MIMAT0020779_st"	"dme-miR-1-5p"
"201"	"MIMAT0000105_st"	"dme-miR-1-3p"
"202"	"MIMAT0020780_st"	"dme-miR-2a-1-5p"
"203"	"MIMAT0000106_st"	"dme-miR-2a-3p"
"204"	"MIMAT0020781_st"	"dme-miR-2a-2-5p"
"205"	"MIMAT0020782_st"	"dme-miR-2b-1-5p"
"206"	"MIMAT0000107_st"	"dme-miR-2b-3p"
"207"	"MIMAT0020783_st"	"dme-miR-2b-2-5p"
"208"	"MIMAT0020784_st"	"dme-miR-3-5p"
"209"	"MIMAT0000108_st"	"dme-miR-3-3p"
"210"	"MIMAT0020785_st"	"dme-miR-4-5p"
"211"	"MIMAT0000109_st"	"dme-miR-4-3p"
"212"	"MIMAT0000110_st"	"dme-miR-5-5p"
"213"	"MIMAT0020786_st"	"dme-miR-5-3p"
"214"	"MIMAT0020787_st"	"dme-miR-6-1-5p"
"215"	"MIMAT0000111_st"	"dme-miR-6-3p"
"216"	"MIMAT0020788_st"	"dme-miR-6-2-5p"
"217"	"MIMAT0020789_st"	"dme-miR-6-3-5p"
"218"	"MIMAT0000112_st"	"dme-miR-7-5p"
"219"	"MIMAT0020790_st"	"dme-miR-7-3p"
"220"	"MIMAT0020791_st"	"dme-miR-8-5p"
"221"	"MIMAT0000113_st"	"dme-miR-8-3p"
"222"	"MIMAT0000114_st"	"dme-miR-9a-5p"
"223"	"MIMAT0020792_st"	"dme-miR-9a-3p"
"224"	"MIMAT0000115_st"	"dme-miR-10-5p"
"225"	"MIMAT0012531_st"	"dme-miR-10-3p"
"226"	"MIMAT0020793_st"	"dme-miR-11-5p"
"227"	"MIMAT0000116_st"	"dme-miR-11-3p"
"228"	"MIMAT0000117_st"	"dme-miR-12-5p"
"229"	"MIMAT0020794_st"	"dme-miR-12-3p"
"230"	"MIMAT0020795_st"	"dme-miR-13a-5p"
"231"	"MIMAT0000118_st"	"dme-miR-13a-3p"
"232"	"MIMAT0020796_st"	"dme-miR-13b-1-5p"
"233"	"MIMAT0000119_st"	"dme-miR-13b-3p"
"234"	"MIMAT0020797_st"	"dme-miR-13b-2-5p"
"235"	"MIMAT0020798_st"	"dme-miR-14-5p"
"236"	"MIMAT0000120_st"	"dme-miR-14-3p"
"237"	"MIMAT0000121_st"	"mmu-let-7g-5p"
"238"	"MIMAT0004519_st"	"mmu-let-7g-3p"
"239"	"MIMAT0000122_st"	"mmu-let-7i-5p"
"240"	"MIMAT0004520_st"	"mmu-let-7i-3p"
"241"	"MIMAT0016979_st"	"mmu-miR-1a-1-5p"
"242"	"MIMAT0000123_st"	"mmu-miR-1a-3p"
"243"	"MIMAT0000124_st"	"mmu-miR-15b-5p"
"244"	"MIMAT0004521_st"	"mmu-miR-15b-3p"
"245"	"MIMAT0016980_st"	"mmu-miR-23b-5p"
"246"	"MIMAT0000125_st"	"mmu-miR-23b-3p"
"247"	"MIMAT0004522_st"	"mmu-miR-27b-5p"
"248"	"MIMAT0000126_st"	"mmu-miR-27b-3p"
"249"	"MIMAT0004523_st"	"mmu-miR-29b-1-5p"
"250"	"MIMAT0000127_st"	"mmu-miR-29b-3p"
"251"	"MIMAT0000128_st"	"mmu-miR-30a-5p"
"252"	"MIMAT0000129_st"	"mmu-miR-30a-3p"
"253"	"MIMAT0000130_st"	"mmu-miR-30b-5p"
"254"	"MIMAT0004524_st"	"mmu-miR-30b-3p"
"255"	"MIMAT0000131_st"	"mmu-miR-99a-5p"
"256"	"MIMAT0016981_st"	"mmu-miR-99a-3p"
"257"	"MIMAT0000132_st"	"mmu-miR-99b-5p"
"258"	"MIMAT0004525_st"	"mmu-miR-99b-3p"
"259"	"MIMAT0004526_st"	"mmu-miR-101a-5p"
"260"	"MIMAT0000133_st"	"mmu-miR-101a-3p"
"261"	"MIMAT0004527_st"	"mmu-miR-124-5p"
"262"	"MIMAT0000134_st"	"mmu-miR-124-3p"
"263"	"MIMAT0000135_st"	"mmu-miR-125a-5p"
"264"	"MIMAT0004528_st"	"mmu-miR-125a-3p"
"265"	"MIMAT0000136_st"	"mmu-miR-125b-5p"
"266"	"MIMAT0004529_st"	"mmu-miR-125b-2-3p"
"267"	"MIMAT0000137_st"	"mmu-miR-126a-5p"
"268"	"MIMAT0000138_st"	"mmu-miR-126a-3p"
"269"	"MIMAT0004530_st"	"mmu-miR-127-5p"
"270"	"MIMAT0000139_st"	"mmu-miR-127-3p"
"271"	"MIMAT0016982_st"	"mmu-miR-128-1-5p"
"272"	"MIMAT0000140_st"	"mmu-miR-128-3p"
"273"	"MIMAT0016983_st"	"mmu-miR-130a-5p"
"274"	"MIMAT0000141_st"	"mmu-miR-130a-3p"
"275"	"MIMAT0000142_st"	"mmu-miR-9-5p"
"276"	"MIMAT0000143_st"	"mmu-miR-9-3p"
"277"	"MIMAT0016984_st"	"mmu-miR-132-5p"
"278"	"MIMAT0000144_st"	"mmu-miR-132-3p"
"279"	"MIMAT0003473_st"	"mmu-miR-133a-5p"
"280"	"MIMAT0000145_st"	"mmu-miR-133a-3p"
"281"	"MIMAT0000146_st"	"mmu-miR-134-5p"
"282"	"MIMAT0016985_st"	"mmu-miR-134-3p"
"283"	"MIMAT0000147_st"	"mmu-miR-135a-5p"
"284"	"MIMAT0004531_st"	"mmu-miR-135a-1-3p"
"285"	"MIMAT0000148_st"	"mmu-miR-136-5p"
"286"	"MIMAT0004532_st"	"mmu-miR-136-3p"
"287"	"MIMAT0016986_st"	"mmu-miR-137-5p"
"288"	"MIMAT0000149_st"	"mmu-miR-137-3p"
"289"	"MIMAT0000150_st"	"mmu-miR-138-5p"
"290"	"MIMAT0016987_st"	"mmu-miR-138-2-3p"
"291"	"MIMAT0000151_st"	"mmu-miR-140-5p"
"292"	"MIMAT0000152_st"	"mmu-miR-140-3p"
"293"	"MIMAT0004533_st"	"mmu-miR-141-5p"
"294"	"MIMAT0000153_st"	"mmu-miR-141-3p"
"295"	"MIMAT0000154_st"	"mmu-miR-142-5p"
"296"	"MIMAT0000155_st"	"mmu-miR-142-3p"
"297"	"MIMAT0016988_st"	"mmu-miR-144-5p"
"298"	"MIMAT0000156_st"	"mmu-miR-144-3p"
"299"	"MIMAT0000157_st"	"mmu-miR-145a-5p"
"300"	"MIMAT0004534_st"	"mmu-miR-145a-3p"
"301"	"MIMAT0000158_st"	"mmu-miR-146a-5p"
"302"	"MIMAT0016989_st"	"mmu-miR-146a-3p"
"303"	"MIMAT0000159_st"	"mmu-miR-149-5p"
"304"	"MIMAT0016990_st"	"mmu-miR-149-3p"
"305"	"MIMAT0000160_st"	"mmu-miR-150-5p"
"306"	"MIMAT0004535_st"	"mmu-miR-150-3p"
"307"	"MIMAT0004536_st"	"mmu-miR-151-5p"
"308"	"MIMAT0000161_st"	"mmu-miR-151-3p"
"309"	"MIMAT0016991_st"	"mmu-miR-152-5p"
"310"	"MIMAT0000162_st"	"mmu-miR-152-3p"
"311"	"MIMAT0016992_st"	"mmu-miR-153-5p"
"312"	"MIMAT0000163_st"	"mmu-miR-153-3p"
"313"	"MIMAT0000164_st"	"mmu-miR-154-5p"
"314"	"MIMAT0004537_st"	"mmu-miR-154-3p"
"315"	"MIMAT0000165_st"	"mmu-miR-155-5p"
"316"	"MIMAT0016993_st"	"mmu-miR-155-3p"
"317"	"MIMAT0000166_st"	"ath-miR156a"
"318"	"MIMAT0000167_st"	"ath-miR156b"
"319"	"MIMAT0000168_st"	"ath-miR156c"
"320"	"MIMAT0000169_st"	"ath-miR156d"
"321"	"MIMAT0000170_st"	"ath-miR156e"
"322"	"MIMAT0000171_st"	"ath-miR156f"
"323"	"MIMAT0000172_st"	"ath-miR157a"
"324"	"MIMAT0000173_st"	"ath-miR157b"
"325"	"MIMAT0000174_st"	"ath-miR157c"
"326"	"MIMAT0000175_st"	"ath-miR157d"
"327"	"MIMAT0000176_st"	"ath-miR158a"
"328"	"MIMAT0000177_st"	"ath-miR159a"
"329"	"MIMAT0000178_st"	"ath-miR160a"
"330"	"MIMAT0000179_st"	"ath-miR160b"
"331"	"MIMAT0000180_st"	"ath-miR160c"
"332"	"MIMAT0006779_st"	"ath-miR161.2"
"333"	"MIMAT0000181_st"	"ath-miR161.1"
"334"	"MIMAT0000182_st"	"ath-miR162a"
"335"	"MIMAT0000183_st"	"ath-miR162b"
"336"	"MIMAT0000184_st"	"ath-miR163"
"337"	"MIMAT0000185_st"	"ath-miR164a"
"338"	"MIMAT0000186_st"	"ath-miR164b"
"339"	"MIMAT0000187_st"	"ath-miR165a"
"340"	"MIMAT0000188_st"	"ath-miR165b"
"341"	"MIMAT0000189_st"	"ath-miR166a"
"342"	"MIMAT0000190_st"	"ath-miR166b"
"343"	"MIMAT0000191_st"	"ath-miR166c"
"344"	"MIMAT0000192_st"	"ath-miR166d"
"345"	"MIMAT0000193_st"	"ath-miR166e"
"346"	"MIMAT0000194_st"	"ath-miR166f"
"347"	"MIMAT0000195_st"	"ath-miR166g"
"348"	"MIMAT0000196_st"	"ath-miR167a"
"349"	"MIMAT0000197_st"	"ath-miR167b"
"350"	"MIMAT0000198_st"	"ath-miR168a"
"351"	"MIMAT0000199_st"	"ath-miR168b"
"352"	"MIMAT0000200_st"	"ath-miR169a"
"353"	"MIMAT0000201_st"	"ath-miR170"
"354"	"MIMAT0000202_st"	"ath-miR171a"
"355"	"MIMAT0000203_st"	"ath-miR172a"
"356"	"MIMAT0000204_st"	"ath-miR172b-5p"
"357"	"MIMAT0000205_st"	"ath-miR172b-3p"
"358"	"MIMAT0000206_st"	"ath-miR173-5p"
"359"	"MIMAT0022843_st"	"ath-miR173-3p"
"360"	"MIMAT0000207_st"	"ath-miR159b"
"361"	"MIMAT0000208_st"	"mmu-miR-10b-5p"
"362"	"MIMAT0004538_st"	"mmu-miR-10b-3p"
"363"	"MIMAT0000209_st"	"mmu-miR-129-5p"
"364"	"MIMAT0016994_st"	"mmu-miR-129-1-3p"
"365"	"MIMAT0000210_st"	"mmu-miR-181a-5p"
"366"	"MIMAT0005443_st"	"mmu-miR-181a-2-3p"
"367"	"MIMAT0000211_st"	"mmu-miR-182-5p"
"368"	"MIMAT0016995_st"	"mmu-miR-182-3p"
"369"	"MIMAT0000212_st"	"mmu-miR-183-5p"
"370"	"MIMAT0004539_st"	"mmu-miR-183-3p"
"371"	"MIMAT0022690_st"	"mmu-miR-184-5p"
"372"	"MIMAT0000213_st"	"mmu-miR-184-3p"
"373"	"MIMAT0000214_st"	"mmu-miR-185-5p"
"374"	"MIMAT0016996_st"	"mmu-miR-185-3p"
"375"	"MIMAT0000215_st"	"mmu-miR-186-5p"
"376"	"MIMAT0004540_st"	"mmu-miR-186-3p"
"377"	"MIMAT0016997_st"	"mmu-miR-187-5p"
"378"	"MIMAT0000216_st"	"mmu-miR-187-3p"
"379"	"MIMAT0000217_st"	"mmu-miR-188-5p"
"380"	"MIMAT0004541_st"	"mmu-miR-188-3p"
"381"	"MIMAT0000218_st"	"mmu-miR-24-1-5p"
"382"	"MIMAT0000219_st"	"mmu-miR-24-3p"
