,bladder,lymph_node,muscle,salivary_gland,spleen,testis,adipocyte,artery,bone,esophagus,skin,stomach,kidney,liver,nerve,lung,heart,bowel,brain,pancreas,pleurae,thyroid,vein
hsa-miR-508-3p,1.894856451,1.33192187,5.482393972,0.875399689,0.78299362,10374.58424,2.150147242,5.873003968,0.490778781,0.589003024,41.1187617,0.967803745,204.8345313,3.517854326,9.421090806,4.273588976,3.790508849,6.575760331,28.32270294,34.64858641,8.7557652,112.6107454,0.72163417
hsa-miR-509-3p,2.85687286,2.56148863,5.534449325,0.868184685,2.028830695,9458.603025,2.78717971,6.522475661,0.607834477,1.359807476,58.52019471,1.007169035,332.4299514,3.821139421,10.08426958,10.29562496,4.442313879,7.914781709,41.43244844,20.89357357,10.60648251,100.2256786,1.020986303
hsa-miR-514a-3p,3.642468805,3.660079681,8.357223093,1.925951786,2.664696284,26038.44579,4.34502221,12.2760645,1.183515194,2.660059122,103.5271511,1.262676231,591.6966071,7.475470284,14.81405682,5.913173156,6.640365623,16.71930028,46.47954821,79.2481817,14.21179592,565.9348226,1.520015828
hsa-miR-542-3p,53.84249829,7.945589035,75.6281096,8.429820888,92.49042997,242.5156551,10.63756471,6.083831687,52.70828516,17.65301728,10.20754729,22.40339526,86.72693176,46.9738529,22.38188965,13.48351891,32.89637536,16.11850126,60.91786079,9.759047723,31.87331173,62.16945968,15.73057017
hsa-miR-5588-5p,0.041311786,0.040706184,0.029085751,0.036317716,0.045337736,0,0.052259968,0.087503876,0.027780838,0.090267891,0.01008736,0.059038433,0.530257669,0.753142679,0.024951626,0.057882074,0.087289282,0.078611562,0.011741479,0.074743767,0.007146026,0.088487315,0.25318095
hsa-miR-660-5p,327.0384342,348.8132173,720.0618431,409.1125825,542.6305935,1384.148745,396.9175981,420.3030863,404.5761561,438.8284049,783.532185,499.5056171,1860.576549,384.0538084,516.4781855,587.3489498,378.7174422,416.3544704,269.5436068,380.3843227,555.3400043,621.629149,625.17301
hsa-miR-122-5p,18.9964844,274.4546232,118.2975087,21.22479786,805.1164359,218.4381321,301.6687083,1753.200799,97.83425003,2736.222056,246.5984163,2723.460388,1162.436711,327749.6714,274.331438,1069.200565,1103.819737,354.1607215,153.8339578,1813.73443,1339.526,1567.986913,46476.30913
hsa-miR-148a-3p,640.4322667,893.8349551,334.3484866,16318.24699,1150.746509,357.915439,478.1648167,462.1688549,1485.198245,617.4470662,1110.684971,7057.358736,883.0255595,5286.380409,380.6073814,1446.451156,664.3275583,2075.103934,325.9440758,20554.21795,1149.785977,959.6681209,1258.151185
hsa-miR-148a-5p,0.43494508,0.589381565,0.279843832,10.20734637,0.352747554,0.219657596,0.367586568,0.220108088,1.098875202,0.394959359,0.794882619,2.296623189,0.507036705,2.700048044,0.333882887,0.7301046,0.406833707,1.157808818,0.269827096,9.998550512,0.706678578,0.426112438,0.863929206
hsa-miR-3614-5p,0.158619962,0.645825301,0.25621523,0.110838929,1.307841616,1.100201994,1.044897406,0.331733625,0.451182254,0.318551678,1.107815086,0.489723062,0.256620532,1.377525971,0.265587102,1.631065061,0.87625452,0.488226198,0.079832079,0.086563665,0.741475152,0.224521496,0.700160813
